"Kod";"Nazwa";"ogółem;2019;[%]";
0201011;"Bolesławiec (1)";2,3;
0201022;"Bolesławiec (2)";2,1;
0201032;"Gromadka (2)";2,3;
0201043;"Nowogrodziec (3)";2,4;
0201052;"Osiecznica (2)";2,9;
0201062;"Warta Bolesławiecka (2)";2,5;
0202011;"Bielawa (1)";1,9;
0202021;"Dzierżoniów (1)";2,7;
0202033;"Pieszyce (3)";2,7;
0202041;"Piława Górna (1)";3,4;
0202052;"Dzierżoniów (2)";2,6;
0202062;"Łagiewniki (2)";2,2;
0202073;"Niemcza (3)";2,7;
0203011;"Głogów (1)";3,7;
0203022;"Głogów (2)";3,6;
0203032;"Jerzmanowa (2)";3,5;
0203042;"Kotla (2)";4,9;
0203052;"Pęcław (2)";7,1;
0203062;"Żukowice (2)";5,4;
0204013;"Góra (3)";7,1;
0204022;"Jemielno (2)";8,0;
0204032;"Niechlów (2)";6,8;
0204043;"Wąsosz (3)";7,5;
0205011;"Jawor (1)";4,2;
0205023;"Bolków (3)";9,1;
0205032;"Męcinka (2)";4,7;
0205042;"Mściwojów (2)";5,6;
0205052;"Paszowice (2)";6,3;
0205062;"Wądroże Wielkie (2)";4,7;
0206011;"Karpacz (1)";3,6;
0206021;"Kowary (1)";4,6;
0206031;"Piechowice (1)";3,4;
0206041;"Szklarska Poręba (1)";3,0;
0206052;"Janowice Wielkie (2)";5,3;
0206062;"Jeżów Sudecki (2)";3,1;
0206072;"Mysłakowice (2)";4,9;
0206082;"Podgórzyn (2)";4,4;
0206092;"Stara Kamienica (2)";4,4;
0207011;"Kamienna Góra (1)";3,0;
0207022;"Kamienna Góra (2)";2,7;
0207033;"Lubawka (3)";2,9;
0207042;"Marciszów (2)";3,5;
0208011;"Duszniki-Zdrój (1)";4,7;
0208021;"Kłodzko (1)";4,8;
0208031;"Kudowa-Zdrój (1)";4,6;
0208041;"Nowa Ruda (1)";5,1;
0208051;"Polanica-Zdrój (1)";4,8;
0208063;"Bystrzyca Kłodzka (3)";7,2;
0208072;"Kłodzko (2)";5,4;
0208083;"Lądek-Zdrój (3)";5,3;
0208092;"Lewin Kłodzki (2)";5,4;
0208103;"Międzylesie (3)";7,6;
0208112;"Nowa Ruda (2)";6,2;
0208123;"Radków (3)";5,6;
0208133;"Stronie Śląskie (3)";7,9;
0208143;"Szczytna (3)";5,3;
0209011;"Chojnów (1)";6,8;
0209022;"Chojnów (2)";7,6;
0209032;"Krotoszyce (2)";2,9;
0209042;"Kunice (2)";2,9;
0209052;"Legnickie Pole (2)";3,0;
0209062;"Miłkowice (2)";4,1;
0209073;"Prochowice (3)";3,1;
0209082;"Ruja (2)";3,8;
0210011;"Lubań (1)";2,4;
0210021;"Świeradów-Zdrój (1)";3,8;
0210033;"Leśna (3)";5,5;
0210042;"Lubań (2)";3,7;
0210053;"Olszyna (3)";3,9;
0210062;"Platerówka (2)";3,6;
0210072;"Siekierczyn (2)";3,5;
0211011;"Lubin (1)";2,2;
0211022;"Lubin (2)";2,1;
0211032;"Rudna (2)";3,5;
0211043;"Ścinawa (3)";3,3;
0212013;"Gryfów Śląski (3)";4,9;
0212023;"Lubomierz (3)";5,4;
0212033;"Lwówek Śląski (3)";4,7;
0212043;"Mirsk (3)";6,8;
0212053;"Wleń (3)";5,3;
0213012;"Cieszków (2)";4,8;
0213022;"Krośnice (2)";3,4;
0213033;"Milicz (3)";3,9;
0214011;"Oleśnica (1)";2,3;
