"Kod";"Nazwa";"ogółem;2018;[osoba]";
0201011;"Bolesławiec (1)";498;
0201022;"Bolesławiec (2)";212;
0201032;"Gromadka (2)";93;
0201043;"Nowogrodziec (3)";215;
0201052;"Osiecznica (2)";132;
0201062;"Warta Bolesławiecka (2)";133;
0202011;"Bielawa (1)";398;
0202021;"Dzierżoniów (1)";571;
0202033;"Pieszyce (3)";196;
0202041;"Piława Górna (1)";148;
0202052;"Dzierżoniów (2)";189;
0202062;"Łagiewniki (2)";123;
0202073;"Niemcza (3)";129;
0203011;"Głogów (1)";1774;
0203022;"Głogów (2)";223;
0203032;"Jerzmanowa (2)";123;
0203042;"Kotla (2)";190;
0203052;"Pęcław (2)";129;
0203062;"Żukowice (2)";163;
0204013;"Góra (3)";897;
0204022;"Jemielno (2)";165;
0204032;"Niechlów (2)";240;
0204043;"Wąsosz (3)";369;
0205011;"Jawor (1)";671;
0205023;"Bolków (3)";682;
0205032;"Męcinka (2)";166;
0205042;"Mściwojów (2)";152;
0205052;"Paszowice (2)";138;
0205062;"Wądroże Wielkie (2)";147;
0206011;"Karpacz (1)";105;
0206021;"Kowary (1)";310;
0206031;"Piechowice (1)";125;
0206041;"Szklarska Poręba (1)";153;
0206052;"Janowice Wielkie (2)";174;
0206062;"Jeżów Sudecki (2)";143;
0206072;"Mysłakowice (2)";345;
0206082;"Podgórzyn (2)";229;
0206092;"Stara Kamienica (2)";150;
0207011;"Kamienna Góra (1)";347;
0207022;"Kamienna Góra (2)";174;
0207033;"Lubawka (3)";198;
0207042;"Marciszów (2)";106;
0208011;"Duszniki-Zdrój (1)";138;
0208021;"Kłodzko (1)";836;
0208031;"Kudowa-Zdrój (1)";306;
0208041;"Nowa Ruda (1)";703;
0208051;"Polanica-Zdrój (1)";179;
0208063;"Bystrzyca Kłodzka (3)";853;
0208072;"Kłodzko (2)";598;
0208083;"Lądek-Zdrój (3)";305;
0208092;"Lewin Kłodzki (2)";76;
0208103;"Międzylesie (3)";378;
0208112;"Nowa Ruda (2)";471;
0208123;"Radków (3)";288;
0208133;"Stronie Śląskie (3)";302;
0208143;"Szczytna (3)";284;
0209011;"Chojnów (1)";628;
0209022;"Chojnów (2)";494;
0209032;"Krotoszyce (2)";76;
0209042;"Kunice (2)";143;
0209052;"Legnickie Pole (2)";106;
0209062;"Miłkowice (2)";210;
0209073;"Prochowice (3)";187;
0209082;"Ruja (2)";77;
0210011;"Lubań (1)";332;
0210021;"Świeradów-Zdrój (1)";113;
0210033;"Leśna (3)";331;
0210042;"Lubań (2)";145;
0210053;"Olszyna (3)";180;
0210062;"Platerówka (2)";34;
0210072;"Siekierczyn (2)";99;
0211011;"Lubin (1)";1057;
0211022;"Lubin (2)";259;
0211032;"Rudna (2)";181;
0211043;"Ścinawa (3)";268;
0212013;"Gryfów Śląski (3)";299;
0212023;"Lubomierz (3)";245;
0212033;"Lwówek Śląski (3)";533;
0212043;"Mirsk (3)";401;
0212053;"Wleń (3)";167;
0213012;"Cieszków (2)";156;
0213022;"Krośnice (2)";165;
0213033;"Milicz (3)";573;
0214011;"Oleśnica (1)";494;
0214023;"Bierutów (3)";324;
0214032;"Dobroszyce (2)";80;
0214042;"Dziadowa Kłoda (2)";136;
0214053;"Międzybórz (3)";122;
0214062;"Oleśnica (2)";185;
0214073;"Syców (3)";426;
0214083;"Twardogóra (3)";232;
0215011;"Oława (1)";920;
0215022;"Domaniów (2)";150;
0215033;"Jelcz-Laskowice (3)";464;
0215042;"Oława (2)";496;
0216013;"Chocianów (3)";418;
0216022;"Gaworzyce (2)";97;
0216032;"Grębocice (2)";139;
0216043;"Polkowice (3)";561;
0216053;"Przemków (3)";349;
0216062;"Radwanice (2)";125;
0217012;"Borów (2)";142;
0217022;"Kondratowice (2)";203;
0217032;"Przeworno (2)";197;
0217043;"Strzelin (3)";742;
0217053;"Wiązów (3)";254;
0218012;"Kostomłoty (2)";215;
0218022;"Malczyce (2)";122;
0218032;"Miękinia (2)";295;
0218043;"Środa Śląska (3)";392;
0218052;"Udanin (2)";147;
0219011;"Świdnica (1)";1050;
0219021;"Świebodzice (1)";726;
0219032;"Dobromierz (2)";251;
0219043;"Jaworzyna Śląska (3)";220;
0219052;"Marcinowice (2)";140;
0219063;"Strzegom (3)";740;
0219072;"Świdnica (2)";316;
0219083;"Żarów (3)";184;
0220013;"Oborniki Śląskie (3)";308;
0220023;"Prusice (3)";202;
0220033;"Trzebnica (3)";461;
0220042;"Wisznia Mała (2)";135;
0220052;"Zawonia (2)";136;
0220063;"Żmigród (3)";492;
0221011;"Boguszów-Gorce (1)";656;
0221021;"Jedlina-Zdrój (1)";112;
0221031;"Szczawno-Zdrój (1)";133;
0221042;"Czarny Bór (2)";145;
0221053;"Głuszyca (3)";152;
0221063;"Mieroszów (3)";181;
0221072;"Stare Bogaczowice (2)";117;
0221082;"Walim (2)";221;
0222013;"Brzeg Dolny (3)";405;
0222022;"Wińsko (2)";450;
0222033;"Wołów (3)";1047;
0223012;"Czernica (2)";162;
0223022;"Długołęka (2)";240;
0223032;"Jordanów Śląski (2)";39;
0223043;"Kąty Wrocławskie (3)";214;
0223052;"Kobierzyce (2)";179;
0223062;"Mietków (2)";48;
0223073;"Sobótka (3)";140;
0223083;"Siechnice (3)";191;
0223092;"Żórawina (2)";121;
0224013;"Bardo (3)";179;
0224022;"Ciepłowody (2)";118;
0224032;"Kamieniec Ząbkowicki (2)";289;
0224042;"Stoszowice (2)";270;
0224053;"Ząbkowice Śląskie (3)";772;
0224063;"Ziębice (3)";580;
0224073;"Złoty Stok (3)";208;
0225011;"Zawidów (1)";44;
0225021;"Zgorzelec (1)";428;
0225033;"Bogatynia (3)";309;
0225043;"Pieńsk (3)";200;
0225052;"Sulików (2)";133;
0225063;"Węgliniec (3)";184;
0225072;"Zgorzelec (2)";139;
0226011;"Wojcieszów (1)";183;
0226021;"Złotoryja (1)";548;
0226032;"Pielgrzymka (2)";294;
0226043;"Świerzawa (3)";448;
0226052;"Zagrodno (2)";243;
0226062;"Złotoryja (2)";307;
0261011;"Jelenia Góra (1)";1209;
0262011;"Legnica (1)";2279;
0264011;"Wrocław (1)";7247;
0265011;"Wałbrzych od 2013 (1)";2489;
0401011;"Aleksandrów Kujawski (1)";602;
0401021;"Ciechocinek (1)";420;
0401031;"Nieszawa (1)";128;
0401042;"Aleksandrów Kujawski (2)";594;
0401052;"Bądkowo (2)";132;
0401062;"Koneck (2)";155;
0401072;"Raciążek (2)";140;
0401082;"Waganiec (2)";245;
0401092;"Zakrzewo (2)";148;
0402011;"Brodnica (1)";777;
0402022;"Bobrowo (2)";211;
0402032;"Brodnica (2)";206;
0402042;"Brzozie (2)";111;
0402053;"Górzno (3)";84;
0402062;"Bartniczka (2)";121;
0402073;"Jabłonowo Pomorskie (3)";301;
0402082;"Osiek (2)";128;
0402092;"Świedziebnia (2)";159;
0402102;"Zbiczno (2)";164;
0403012;"Białe Błota (2)";360;
0403022;"Dąbrowa Chełmińska (2)";189;
0403032;"Dobrcz (2)";219;
0403043;"Koronowo (3)";655;
0403052;"Nowa Wieś Wielka (2)";202;
0403062;"Osielsko (2)";230;
0403072;"Sicienko (2)";214;
0403083;"Solec Kujawski (3)";301;
0404011;"Chełmno (1)";838;
0404022;"Chełmno (2)";216;
0404032;"Kijewo Królewskie (2)";170;
0404042;"Lisewo (2)";201;
0404052;"Papowo Biskupie (2)";268;
0404062;"Stolno (2)";254;
0404072;"Unisław (2)";246;
0405011;"Golub-Dobrzyń (1)";651;
0405022;"Ciechocin (2)";135;
0405032;"Golub-Dobrzyń (2)";365;
0405043;"Kowalewo Pomorskie (3)";385;
0405052;"Radomin (2)";145;
0405062;"Zbójno (2)";211;
0406012;"Grudziądz (2)";477;
0406022;"Gruta (2)";296;
0406033;"Łasin (3)";406;
0406043;"Radzyń Chełmiński (3)";249;
0406052;"Rogóźno (2)";218;
0406062;"Świecie nad Osą (2)";263;
0407011;"Inowrocław (1)";3318;
0407022;"Dąbrowa Biskupia (2)";240;
0407033;"Gniewkowo (3)";771;
0407042;"Inowrocław (2)";563;
0407053;"Janikowo (3)";553;
0407063;"Kruszwica (3)";934;
0407073;"Pakość (3)";484;
0407082;"Rojewo (2)";247;
0407092;"Złotniki Kujawskie (2)";471;
0408011;"Lipno (1)";794;
0408022;"Bobrowniki (2)";209;
