"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2016;[zł]";"gminy łącznie z miastami na prawach powiatu;ogółem;2017;[zł]";"gminy łącznie z miastami na prawach powiatu;ogółem;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;ogółem;2019;[zł]";
0201011;"Bolesławiec (1)";3905,44;4213,61;4597,48;4900,69;
0201022;"Bolesławiec (2)";3564,29;4378,32;4369,31;4919,14;
0201032;"Gromadka (2)";4629,59;5003,18;8324,14;8256,39;
0201043;"Nowogrodziec (3)";3839,13;4390,48;4344,64;5264,06;
0201052;"Osiecznica (2)";4682,74;4948,35;5347,95;5771,75;
0201062;"Warta Bolesławiecka (2)";3900,47;4166,38;4268,90;4768,27;
0202011;"Bielawa (1)";3835,84;4074,18;4192,64;5261,84;
0202021;"Dzierżoniów (1)";3363,21;3533,12;4065,66;4554,99;
0202033;"Pieszyce (3)";2986,24;3191,99;4289,16;4309,72;
0202041;"Piława Górna (1)";3229,40;3428,32;4163,07;4620,83;
0202052;"Dzierżoniów (2)";3282,97;3538,57;4390,77;4563,51;
0202062;"Łagiewniki (2)";3380,65;3662,33;4204,41;4476,25;
0202073;"Niemcza (3)";3052,73;3386,71;3624,49;4483,78;
0203011;"Głogów (1)";4086,60;4338,89;4760,47;5514,04;
0203022;"Głogów (2)";4252,22;4670,60;5454,54;5989,00;
0203032;"Jerzmanowa (2)";8154,34;9220,37;9783,87;10278,69;
0203042;"Kotla (2)";4222,67;4910,24;5308,13;5664,72;
0203052;"Pęcław (2)";3945,74;4906,38;4791,21;4882,53;
0203062;"Żukowice (2)";5035,65;5062,12;6186,87;6488,38;
0204013;"Góra (3)";4032,91;4553,53;4776,46;5095,09;
0204022;"Jemielno (2)";3986,05;4527,96;4948,90;5490,18;
0204032;"Niechlów (2)";4114,00;5080,80;4756,76;4796,97;
0204043;"Wąsosz (3)";4096,01;4326,89;4703,71;4885,19;
0205011;"Jawor (1)";3428,55;3722,12;4387,59;4378,70;
0205023;"Bolków (3)";3368,73;3847,05;4824,90;5316,81;
0205032;"Męcinka (2)";3767,54;4603,68;5642,75;6211,22;
0205042;"Mściwojów (2)";4020,65;4481,32;4966,15;4564,37;
0205052;"Paszowice (2)";3810,07;3912,17;4246,18;5178,33;
0205062;"Wądroże Wielkie (2)";4221,03;4800,07;6393,55;5844,83;
0206011;"Karpacz (1)";6927,36;7553,17;10242,78;9951,48;
0206021;"Kowary (1)";3542,90;3612,81;3868,31;4078,77;
0206031;"Piechowice (1)";3659,76;3996,32;4583,31;4561,88;
0206041;"Szklarska Poręba (1)";5371,72;6185,94;6748,43;6887,49;
0206052;"Janowice Wielkie (2)";3448,43;3660,99;4427,37;4538,21;
0206062;"Jeżów Sudecki (2)";3730,66;4232,30;4819,27;4809,54;
0206072;"Mysłakowice (2)";3743,63;4128,46;4259,93;5225,60;
0206082;"Podgórzyn (2)";3460,36;4206,76;4741,75;5118,14;
0206092;"Stara Kamienica (2)";3970,18;4816,53;4888,99;5039,29;
0207011;"Kamienna Góra (1)";3416,51;3701,87;3950,43;4840,40;
0207022;"Kamienna Góra (2)";3994,86;4342,48;4860,61;5128,84;
0207033;"Lubawka (3)";3230,48;3777,85;4082,07;4130,91;
0207042;"Marciszów (2)";3823,25;4658,25;4881,21;4868,71;
0208011;"Duszniki-Zdrój (1)";6319,07;5152,55;4721,49;5687,66;
0208021;"Kłodzko (1)";3458,34;3686,28;4318,37;4534,86;
0208031;"Kudowa-Zdrój (1)";3789,83;3983,47;4225,99;5383,88;
0208041;"Nowa Ruda (1)";3209,42;3769,56;4344,72;4364,42;
0208051;"Polanica-Zdrój (1)";4187,87;4584,85;5091,92;5383,40;
0208063;"Bystrzyca Kłodzka (3)";3533,68;3867,54;4806,75;4844,08;
0208072;"Kłodzko (2)";3468,65;3993,30;4070,82;4723,04;
0208083;"Lądek-Zdrój (3)";3711,76;3995,53;4739,18;7254,64;
0208092;"Lewin Kłodzki (2)";4433,60;4718,81;8897,97;7726,97;
0208103;"Międzylesie (3)";3554,70;3844,21;4129,01;4418,61;
0208112;"Nowa Ruda (2)";3675,99;4487,01;5092,23;5332,54;
0208123;"Radków (3)";4433,36;4637,19;5253,85;5979,86;
0208133;"Stronie Śląskie (3)";5112,20;3808,88;4090,60;4448,68;
0208143;"Szczytna (3)";3369,28;3965,26;4498,31;4225,52;
0209011;"Chojnów (1)";3855,02;3776,13;4300,02;4530,95;
0209022;"Chojnów (2)";3876,68;4095,92;4568,16;5134,21;
0209032;"Krotoszyce (2)";4285,78;4958,15;4561,17;5154,84;
0209042;"Kunice (2)";4137,27;4746,73;4901,64;5638,26;
0209052;"Legnickie Pole (2)";4810,98;5883,92;5661,84;6921,96;
0209062;"Miłkowice (2)";3842,10;4120,20;4250,37;4822,37;
0209073;"Prochowice (3)";3855,60;4479,71;4716,87;5286,58;
0209082;"Ruja (2)";4515,54;4497,88;4471,48;4848,71;
0210011;"Lubań (1)";3332,25;3518,31;3747,89;4267,78;
0210021;"Świeradów-Zdrój (1)";7517,16;6934,36;15897,63;10270,28;
0210033;"Leśna (3)";3619,20;3972,14;3997,37;4258,61;
0210042;"Lubań (2)";3741,10;4029,58;4280,26;4594,94;
0210053;"Olszyna (3)";3624,95;3834,88;3945,74;4658,97;
0210062;"Platerówka (2)";3951,62;4259,14;4395,92;4640,25;
0210072;"Siekierczyn (2)";3532,10;3845,93;3994,78;4597,26;
0211011;"Lubin (1)";4421,32;4734,66;5297,57;5158,03;
0211022;"Lubin (2)";4870,29;5374,60;5864,67;6971,91;
0211032;"Rudna (2)";6981,35;6833,41;7754,97;8390,84;
0211043;"Ścinawa (3)";3842,80;4315,32;5565,45;5401,87;
0212013;"Gryfów Śląski (3)";3199,69;3527,59;3830,58;4685,84;
0212023;"Lubomierz (3)";3996,52;4254,12;4622,35;5842,09;
0212033;"Lwówek Śląski (3)";3250,53;3621,83;4333,09;4247,31;
0212043;"Mirsk (3)";3675,30;4598,81;6171,33;5015,80;
0212053;"Wleń (3)";3397,21;3849,62;4674,02;5169,91;
0213012;"Cieszków (2)";4126,96;4322,02;4522,53;5049,84;
0213022;"Krośnice (2)";5036,62;5158,69;5356,07;5741,41;
0213033;"Milicz (3)";3855,51;4117,48;4888,58;5111,29;
0214011;"Oleśnica (1)";3507,90;4021,19;4434,78;5821,09;
0214023;"Bierutów (3)";3484,84;3745,36;4013,91;4388,05;
0214032;"Dobroszyce (2)";3996,22;4757,22;4786,75;5352,57;
0214042;"Dziadowa Kłoda (2)";4196,42;4630,67;4825,04;5396,50;
0214053;"Międzybórz (3)";3974,67;4323,58;5426,77;4974,78;
0214062;"Oleśnica (2)";3776,44;3997,66;4160,37;4989,30;
0214073;"Syców (3)";3327,70;3654,92;3885,64;4658,57;
0214083;"Twardogóra (3)";3947,73;4600,47;4454,59;5181,40;
0215011;"Oława (1)";3636,52;3820,71;4390,58;4655,99;
0215022;"Domaniów (2)";3680,10;4140,82;4641,94;5299,96;
0215033;"Jelcz-Laskowice (3)";3589,26;4043,05;4688,55;5272,62;
0215042;"Oława (2)";4660,92;4727,27;5964,24;6710,98;
0216013;"Chocianów (3)";3458,54;3674,43;3796,09;4195,41;
0216022;"Gaworzyce (2)";4126,16;4596,44;5437,26;5866,27;
0216032;"Grębocice (2)";7440,78;8671,73;9107,38;9797,60;
0216043;"Polkowice (3)";7922,42;9095,77;9018,66;10038,65;
0216053;"Przemków (3)";3666,12;3678,11;3891,05;4347,11;
0216062;"Radwanice (2)";5537,33;6618,93;6752,15;7088,75;
0217012;"Borów (2)";3447,64;3768,84;4802,89;4354,39;
0217022;"Kondratowice (2)";4132,10;4619,48;5203,08;4917,36;
0217032;"Przeworno (2)";3474,04;3580,61;3771,71;4173,82;
0217043;"Strzelin (3)";3851,77;4318,97;4634,73;5013,12;
0217053;"Wiązów (3)";3980,26;4349,43;4710,42;5214,07;
0218012;"Kostomłoty (2)";3500,48;3848,42;4232,12;5046,19;
0218022;"Malczyce (2)";3244,30;4483,17;4610,51;5067,24;
0218032;"Miękinia (2)";4213,82;4683,51;5696,04;6348,46;
