"Kod";"Nazwa";"ogółem;2019;[osoba]";
0201011;"Bolesławiec (1)";112;
0201022;"Bolesławiec (2)";101;
0201032;"Gromadka (2)";101;
0201043;"Nowogrodziec (3)";102;
0201052;"Osiecznica (2)";100;
0201062;"Warta Bolesławiecka (2)";102;
0202011;"Bielawa (1)";114;
0202021;"Dzierżoniów (1)";114;
0202033;"Pieszyce (3)";106;
0202041;"Piława Górna (1)";108;
0202052;"Dzierżoniów (2)";100;
0202062;"Łagiewniki (2)";104;
0202073;"Niemcza (3)";98;
0203011;"Głogów (1)";108;
0203022;"Głogów (2)";102;
0203032;"Jerzmanowa (2)";99;
0203042;"Kotla (2)";101;
0203052;"Pęcław (2)";97;
0203062;"Żukowice (2)";96;
0204013;"Góra (3)";103;
0204022;"Jemielno (2)";98;
0204032;"Niechlów (2)";102;
0204043;"Wąsosz (3)";101;
0205011;"Jawor (1)";109;
0205023;"Bolków (3)";103;
0205032;"Męcinka (2)";101;
0205042;"Mściwojów (2)";97;
0205052;"Paszowice (2)";95;
0205062;"Wądroże Wielkie (2)";100;
0206011;"Karpacz (1)";114;
0206021;"Kowary (1)";110;
0206031;"Piechowice (1)";110;
0206041;"Szklarska Poręba (1)";115;
0206052;"Janowice Wielkie (2)";96;
0206062;"Jeżów Sudecki (2)";107;
0206072;"Mysłakowice (2)";104;
0206082;"Podgórzyn (2)";102;
0206092;"Stara Kamienica (2)";102;
0207011;"Kamienna Góra (1)";109;
0207022;"Kamienna Góra (2)";100;
0207033;"Lubawka (3)";104;
0207042;"Marciszów (2)";99;
0208011;"Duszniki-Zdrój (1)";114;
0208021;"Kłodzko (1)";113;
0208031;"Kudowa-Zdrój (1)";109;
0208041;"Nowa Ruda (1)";109;
0208051;"Polanica-Zdrój (1)";118;
0208063;"Bystrzyca Kłodzka (3)";107;
0208072;"Kłodzko (2)";103;
0208083;"Lądek-Zdrój (3)";111;
0208092;"Lewin Kłodzki (2)";106;
0208103;"Międzylesie (3)";101;
0208112;"Nowa Ruda (2)";101;
0208123;"Radków (3)";98;
0208133;"Stronie Śląskie (3)";107;
0208143;"Szczytna (3)";102;
0209011;"Chojnów (1)";110;
0209022;"Chojnów (2)";97;
0209032;"Krotoszyce (2)";102;
0209042;"Kunice (2)";102;
0209052;"Legnickie Pole (2)";111;
0209062;"Miłkowice (2)";102;
0209073;"Prochowice (3)";103;
0209082;"Ruja (2)";100;
0210011;"Lubań (1)";112;
0210021;"Świeradów-Zdrój (1)";110;
0210033;"Leśna (3)";101;
0210042;"Lubań (2)";99;
0210053;"Olszyna (3)";103;
0210062;"Platerówka (2)";94;
0210072;"Siekierczyn (2)";98;
0211011;"Lubin (1)";110;
0211022;"Lubin (2)";98;
0211032;"Rudna (2)";103;
0211043;"Ścinawa (3)";101;
0212013;"Gryfów Śląski (3)";109;
0212023;"Lubomierz (3)";102;
0212033;"Lwówek Śląski (3)";106;
0212043;"Mirsk (3)";106;
0212053;"Wleń (3)";100;
0213012;"Cieszków (2)";97;
0213022;"Krośnice (2)";98;
0213033;"Milicz (3)";104;
0214011;"Oleśnica (1)";110;
0214023;"Bierutów (3)";105;
0214032;"Dobroszyce (2)";100;
0214042;"Dziadowa Kłoda (2)";101;
0214053;"Międzybórz (3)";101;
0214062;"Oleśnica (2)";96;
0214073;"Syców (3)";106;
0214083;"Twardogóra (3)";102;
0215011;"Oława (1)";109;
0215022;"Domaniów (2)";102;
0215033;"Jelcz-Laskowice (3)";103;
0215042;"Oława (2)";103;
0216013;"Chocianów (3)";102;
0216022;"Gaworzyce (2)";100;
0216032;"Grębocice (2)";100;
0216043;"Polkowice (3)";104;
0216053;"Przemków (3)";102;
0216062;"Radwanice (2)";98;
0217012;"Borów (2)";100;
0217022;"Kondratowice (2)";96;
0217032;"Przeworno (2)";100;
0217043;"Strzelin (3)";105;
0217053;"Wiązów (3)";100;
0218012;"Kostomłoty (2)";101;
0218022;"Malczyce (2)";101;
0218032;"Miękinia (2)";100;
0218043;"Środa Śląska (3)";105;
0218052;"Udanin (2)";101;
0219011;"Świdnica (1)";112;
0219021;"Świebodzice (1)";109;
0219032;"Dobromierz (2)";101;
0219043;"Jaworzyna Śląska (3)";105;
0219052;"Marcinowice (2)";103;
0219063;"Strzegom (3)";105;
0219072;"Świdnica (2)";102;
0219083;"Żarów (3)";103;
0220013;"Oborniki Śląskie (3)";104;
0220023;"Prusice (3)";99;
0220033;"Trzebnica (3)";107;
