"Kod";"Nazwa";"imprezy;ogółem;2016;[szt.]";"imprezy;ogółem;2017;[szt.]";"imprezy;ogółem;2018;[szt.]";"imprezy;ogółem;2019;[szt.]";"uczestnicy imprez;ogółem;2016;[osoba]";"uczestnicy imprez;ogółem;2017;[osoba]";"uczestnicy imprez;ogółem;2018;[osoba]";"uczestnicy imprez;ogółem;2019;[osoba]";
0201011;"Bolesławiec (1)";101;184;289;145;66313;25983;29000;30715;
0201022;"Bolesławiec (2)";120;110;118;120;13040;12500;13650;14500;
0201032;"Gromadka (2)";45;61;38;31;4670;4625;1850;1380;
0201043;"Nowogrodziec (3)";70;63;71;93;6487;8920;14272;20511;
0201052;"Osiecznica (2)";0;0;5;7;0;0;550;855;
0201062;"Warta Bolesławiecka (2)";49;33;38;38;4801;5005;9630;5292;
0202011;"Bielawa (1)";146;140;243;262;51559;50530;127857;122752;
0202021;"Dzierżoniów (1)";265;315;319;129;89044;61586;83141;23016;
0202033;"Pieszyce (3)";0;45;49;74;0;5720;4559;5360;
0202041;"Piława Górna (1)";53;50;54;56;13430;12370;16505;8670;
0202062;"Łagiewniki (2)";333;519;712;883;8029;9592;10095;12863;
0202073;"Niemcza (3)";44;37;59;0;7892;12015;14176;0;
0203011;"Głogów (1)";440;341;284;338;146650;125560;88200;136716;
0203022;"Głogów (2)";39;24;20;18;2945;3980;2455;515;
0203032;"Jerzmanowa (2)";29;29;27;29;2020;2020;2200;2540;
0203042;"Kotla (2)";133;92;93;108;5575;7290;7390;8010;
0203052;"Pęcław (2)";58;66;72;67;3682;2877;4205;3473;
0204013;"Góra (3)";95;77;80;52;19310;22309;25177;16250;
0204022;"Jemielno (2)";40;38;37;39;12920;11680;11530;12260;
0204032;"Niechlów (2)";19;23;15;17;630;320;405;595;
0204043;"Wąsosz (3)";60;65;53;39;4900;5530;5190;3135;
0205011;"Jawor (1)";113;108;72;85;25550;19650;28400;31640;
0205023;"Bolków (3)";190;266;440;238;14952;19294;23813;16950;
0205032;"Męcinka (2)";65;70;72;56;7155;8380;9160;5219;
0205052;"Paszowice (2)";98;88;67;75;2945;2480;2405;3986;
0206021;"Kowary (1)";29;35;39;67;8205;9332;9650;4900;
0206031;"Piechowice (1)";73;59;53;40;5750;5210;4680;4660;
0206041;"Szklarska Poręba (1)";172;167;151;179;95900;81505;118290;106200;
0206072;"Mysłakowice (2)";87;125;116;87;3570;3695;2939;3570;
0206092;"Stara Kamienica (2)";124;122;165;122;5555;4940;7752;5630;
0207011;"Kamienna Góra (1)";122;36;55;69;12380;6390;4670;5200;
0207022;"Kamienna Góra (2)";31;374;45;47;3625;9830;7450;7260;
0207033;"Lubawka (3)";180;287;298;235;7477;17710;19582;18474;
0208011;"Duszniki-Zdrój (1)";82;0;83;197;13250;0;11560;19120;
0208021;"Kłodzko (1)";177;205;145;89;34028;49272;34145;21320;
0208031;"Kudowa-Zdrój (1)";22;85;75;70;4320;29950;32600;36270;
0208041;"Nowa Ruda (1)";48;55;65;73;12653;14954;16205;17185;
0208051;"Polanica-Zdrój (1)";282;320;422;198;88470;74480;39950;58100;
0208063;"Bystrzyca Kłodzka (3)";78;124;97;96;33682;36743;30298;24233;
0208072;"Kłodzko (2)";68;94;89;81;2550;8730;8680;11270;
0208083;"Lądek-Zdrój (3)";220;322;221;215;37130;42920;32564;37715;
0208103;"Międzylesie (3)";27;33;34;38;2050;2070;2170;2840;
0208112;"Nowa Ruda (2)";269;391;435;253;15732;16300;18500;18800;
0208123;"Radków (3)";18;22;19;15;7900;10968;8450;6770;
0208133;"Stronie Śląskie (3)";76;93;105;116;13825;14705;17505;20575;
0208143;"Szczytna (3)";0;54;49;49;0;8150;6830;8200;
0209011;"Chojnów (1)";228;65;103;93;34303;29954;41871;29578;
0209042;"Kunice (2)";91;100;107;125;17790;19250;13800;13120;
0209052;"Legnickie Pole (2)";69;122;161;163;8053;20191;22948;11367;
0209062;"Miłkowice (2)";160;178;210;203;8750;10530;6790;6180;
0209073;"Prochowice (3)";108;141;173;207;5136;6538;7295;8705;
0210011;"Lubań (1)";76;78;61;92;19956;22030;21188;23685;
0210021;"Świeradów-Zdrój (1)";0;0;0;13;0;0;0;1130;
0210033;"Leśna (3)";62;63;62;56;5330;9090;9130;7280;
0210053;"Olszyna (3)";33;68;52;55;6355;4870;3770;1950;
0210072;"Siekierczyn (2)";67;59;54;54;1800;1980;2050;2050;
0211011;"Lubin (1)";674;664;688;529;98828;121759;115191;74914;
0211022;"Lubin (2)";146;155;8;6;13852;15052;1100;1080;
0211032;"Rudna (2)";567;537;485;566;18060;18761;19171;11476;
0211043;"Ścinawa (3)";134;147;153;33;12055;19700;16862;6110;
0212013;"Gryfów Śląski (3)";23;29;30;51;6000;8550;9050;11350;
0212023;"Lubomierz (3)";63;265;292;54;8198;10013;9013;8500;
0212033;"Lwówek Śląski (3)";27;28;18;29;53040;57500;54220;2740;
0212053;"Wleń (3)";206;33;42;29;3532;2420;3700;2210;
0213012;"Cieszków (2)";41;41;47;78;4345;3965;6282;10977;
0213022;"Krośnice (2)";28;28;38;37;1025;1042;2515;2470;
0213033;"Milicz (3)";112;91;94;119;14890;13000;12350;19750;
0214011;"Oleśnica (1)";210;236;196;146;32085;37975;41925;37370;
0214023;"Bierutów (3)";76;42;26;28;12687;10180;6810;3500;
0214032;"Dobroszyce (2)";128;159;147;147;24653;26394;26980;23584;
0214042;"Dziadowa Kłoda (2)";65;60;57;64;4560;4040;3976;4703;
0214053;"Międzybórz (3)";142;149;171;140;15660;14400;18430;23950;
0214062;"Oleśnica (2)";466;433;433;424;23894;22705;22705;20460;
0214073;"Syców (3)";95;101;111;115;23920;21377;22650;18344;
0215011;"Oława (1)";163;93;80;85;22490;22750;24212;24650;
0215022;"Domaniów (2)";55;87;287;277;3815;6700;9170;5995;
0215033;"Jelcz-Laskowice (3)";72;57;45;45;13740;14910;12297;12297;
0216013;"Chocianów (3)";41;66;57;62;6360;7700;10488;10520;
0216022;"Gaworzyce (2)";67;67;71;76;13620;13260;14780;18440;
0216032;"Grębocice (2)";54;92;86;115;13583;8000;13144;10974;
