"Kod";"Nazwa";"ogółem;ogółem;2016;[osoba]";"ogółem;ogółem;2017;[osoba]";"ogółem;ogółem;2018;[osoba]";"ogółem;ogółem;2019;[osoba]";"w wieku przedprodukcyjnym;ogółem;2016;[osoba]";"w wieku przedprodukcyjnym;ogółem;2017;[osoba]";"w wieku przedprodukcyjnym;ogółem;2018;[osoba]";"w wieku przedprodukcyjnym;ogółem;2019;[osoba]";"w wieku poprodukcyjnym;ogółem;2016;[osoba]";"w wieku poprodukcyjnym;ogółem;2017;[osoba]";"w wieku poprodukcyjnym;ogółem;2018;[osoba]";"w wieku poprodukcyjnym;ogółem;2019;[osoba]";
0201011;"Bolesławiec (1)";39167;39084;38935;38872;6082;6117;6154;6182;9675;10009;10283;10475;
0201022;"Bolesławiec (2)";14210;14391;14626;14699;2706;2737;2785;2774;2147;2267;2381;2492;
0201032;"Gromadka (2)";5417;5345;5367;5337;932;903;907;912;990;1016;1037;1075;
0201043;"Nowogrodziec (3)";15311;15290;15258;15214;2988;2963;2934;2898;2431;2524;2595;2677;
0201052;"Osiecznica (2)";7482;7398;7371;7349;1577;1558;1527;1478;1098;1120;1187;1236;
0201062;"Warta Bolesławiecka (2)";8593;8665;8643;8632;1696;1704;1655;1630;1393;1469;1539;1598;
0202011;"Bielawa (1)";30357;30207;30055;29872;4448;4459;4476;4410;7284;7504;7695;7912;
0202021;"Dzierżoniów (1)";33785;33653;33344;33137;4981;4971;4931;4918;8634;8824;9042;9288;
0202033;"Pieszyce (3)";9633;9550;9492;9410;1643;1619;1573;1560;1978;2036;2069;2114;
0202041;"Piława Górna (1)";6569;6479;6457;6394;1099;1052;1043;1044;1247;1306;1364;1395;
0202052;"Dzierżoniów (2)";9199;9185;9138;9092;1548;1563;1574;1567;1745;1793;1862;1934;
0202062;"Łagiewniki (2)";7495;7458;7449;7438;1347;1369;1352;1338;1402;1428;1474;1522;
0202073;"Niemcza (3)";5611;5545;5502;5470;845;824;821;807;1198;1235;1267;1304;
0203011;"Głogów (1)";68292;68179;67615;66980;12034;12001;11852;11665;14873;15612;16244;16746;
0203022;"Głogów (2)";6602;6663;6734;6791;1288;1311;1354;1336;991;1043;1091;1152;
0203032;"Jerzmanowa (2)";4868;4925;5042;5156;1128;1101;1113;1141;608;653;685;716;
0203042;"Kotla (2)";4430;4415;4430;4455;942;936;901;900;705;728;772;801;
0203052;"Pęcław (2)";2299;2284;2274;2259;481;461;446;439;364;380;393;419;
0203062;"Żukowice (2)";3498;3467;3446;3461;674;659;644;660;560;572;594;612;
0204013;"Góra (3)";20306;20177;20037;19878;3688;3622;3558;3500;3964;4084;4201;4310;
0204022;"Jemielno (2)";3066;3051;3010;2997;593;589;588;588;556;572;590;610;
0204032;"Niechlów (2)";5028;4985;4939;4840;942;933;922;870;867;913;930;929;
0204043;"Wąsosz (3)";7315;7260;7196;7155;1443;1431;1382;1374;1322;1374;1406;1452;
0205011;"Jawor (1)";23473;23266;23056;22758;3560;3531;3501;3433;5096;5287;5508;5689;
0205023;"Bolków (3)";10631;10611;10503;10388;1811;1824;1788;1764;2223;2275;2356;2409;
0205032;"Męcinka (2)";4971;5001;4991;5007;966;964;966;975;892;937;968;988;
0205042;"Mściwojów (2)";4135;4113;4094;4054;755;756;742;749;771;782;812;828;
