"Kod";"Nazwa";"ogółem w km2;2019;[km2]";
0201011;"Bolesławiec (1)";24;
0201022;"Bolesławiec (2)";289;
0201032;"Gromadka (2)";268;
0201043;"Nowogrodziec (3)";176;
0201052;"Osiecznica (2)";437;
0201062;"Warta Bolesławiecka (2)";110;
0202011;"Bielawa (1)";36;
0202021;"Dzierżoniów (1)";20;
0202033;"Pieszyce (3)";64;
0202041;"Piława Górna (1)";21;
0202052;"Dzierżoniów (2)";141;
0202062;"Łagiewniki (2)";125;
0202073;"Niemcza (3)";72;
0203011;"Głogów (1)";35;
0203022;"Głogów (2)";85;
0203032;"Jerzmanowa (2)";63;
0203042;"Kotla (2)";128;
0203052;"Pęcław (2)";64;
0203062;"Żukowice (2)";68;
0204013;"Góra (3)";266;
0204022;"Jemielno (2)";124;
0204032;"Niechlów (2)";151;
0204043;"Wąsosz (3)";197;
0205011;"Jawor (1)";19;
0205023;"Bolków (3)";153;
0205032;"Męcinka (2)";148;
0205042;"Mściwojów (2)";72;
0205052;"Paszowice (2)";101;
0205062;"Wądroże Wielkie (2)";89;
0206011;"Karpacz (1)";38;
0206021;"Kowary (1)";37;
0206031;"Piechowice (1)";43;
0206041;"Szklarska Poręba (1)";75;
0206052;"Janowice Wielkie (2)";58;
0206062;"Jeżów Sudecki (2)";94;
0206072;"Mysłakowice (2)";88;
0206082;"Podgórzyn (2)";83;
0206092;"Stara Kamienica (2)";111;
0207011;"Kamienna Góra (1)";18;
0207022;"Kamienna Góra (2)";158;
0207033;"Lubawka (3)";138;
0207042;"Marciszów (2)";82;
0208011;"Duszniki-Zdrój (1)";22;
0208021;"Kłodzko (1)";25;
0208031;"Kudowa-Zdrój (1)";34;
0208041;"Nowa Ruda (1)";37;
0208051;"Polanica-Zdrój (1)";17;
0208063;"Bystrzyca Kłodzka (3)";339;
0208072;"Kłodzko (2)";252;
0208083;"Lądek-Zdrój (3)";117;
0208092;"Lewin Kłodzki (2)";52;
0208103;"Międzylesie (3)";189;
0208112;"Nowa Ruda (2)";140;
0208123;"Radków (3)";140;
0208133;"Stronie Śląskie (3)";146;
0208143;"Szczytna (3)";132;
0209011;"Chojnów (1)";5;
0209022;"Chojnów (2)";231;
0209032;"Krotoszyce (2)";67;
0209042;"Kunice (2)";93;
0209052;"Legnickie Pole (2)";85;
0209062;"Miłkowice (2)";87;
0209073;"Prochowice (3)";103;
0209082;"Ruja (2)";73;
0210011;"Lubań (1)";16;
0210021;"Świeradów-Zdrój (1)";21;
0210033;"Leśna (3)";105;
0210042;"Lubań (2)";142;
0210053;"Olszyna (3)";47;
0210062;"Platerówka (2)";48;
0210072;"Siekierczyn (2)";49;
0211011;"Lubin (1)";41;
0211022;"Lubin (2)";290;
0211032;"Rudna (2)";217;
0211043;"Ścinawa (3)";164;
0212013;"Gryfów Śląski (3)";67;
0212023;"Lubomierz (3)";130;
0212033;"Lwówek Śląski (3)";240;
0212043;"Mirsk (3)";187;
0212053;"Wleń (3)";86;
0213012;"Cieszków (2)";101;
0213022;"Krośnice (2)";178;
0213033;"Milicz (3)";436;
0214011;"Oleśnica (1)";21;
0214023;"Bierutów (3)";147;
0214032;"Dobroszyce (2)";132;
0214042;"Dziadowa Kłoda (2)";106;
0214053;"Międzybórz (3)";88;
0214062;"Oleśnica (2)";242;
0214073;"Syców (3)";145;
0214083;"Twardogóra (3)";168;
0215011;"Oława (1)";27;
0215022;"Domaniów (2)";94;
0215033;"Jelcz-Laskowice (3)";168;
0215042;"Oława (2)";235;
0216013;"Chocianów (3)";222;
0216022;"Gaworzyce (2)";77;
0216032;"Grębocice (2)";121;
0216043;"Polkowice (3)";168;
0216053;"Przemków (3)";107;
0216062;"Radwanice (2)";84;
0217012;"Borów (2)";99;
0217022;"Kondratowice (2)";98;
0217032;"Przeworno (2)";112;
0217043;"Strzelin (3)";171;
0217053;"Wiązów (3)";142;
0218012;"Kostomłoty (2)";145;
0218022;"Malczyce (2)";53;
0218032;"Miękinia (2)";179;
0218043;"Środa Śląska (3)";216;
0218052;"Udanin (2)";111;
0219011;"Świdnica (1)";22;
0219021;"Świebodzice (1)";30;
0219032;"Dobromierz (2)";86;
0219043;"Jaworzyna Śląska (3)";67;
0219052;"Marcinowice (2)";95;
0219063;"Strzegom (3)";145;
0219072;"Świdnica (2)";208;
0219083;"Żarów (3)";88;
0220013;"Oborniki Śląskie (3)";154;
0220023;"Prusice (3)";158;
0220033;"Trzebnica (3)";200;
0220042;"Wisznia Mała (2)";103;
0220052;"Zawonia (2)";118;
0220063;"Żmigród (3)";292;
0221011;"Boguszów-Gorce (1)";27;
0221021;"Jedlina-Zdrój (1)";17;
0221031;"Szczawno-Zdrój (1)";15;
0221042;"Czarny Bór (2)";66;
0221053;"Głuszyca (3)";62;
0221063;"Mieroszów (3)";76;
0221072;"Stare Bogaczowice (2)";88;
0221082;"Walim (2)";79;
0222013;"Brzeg Dolny (3)";94;
0222022;"Wińsko (2)";250;
0222033;"Wołów (3)";331;
0223012;"Czernica (2)";84;
0223022;"Długołęka (2)";213;
0223032;"Jordanów Śląski (2)";57;
0223043;"Kąty Wrocławskie (3)";177;
0223052;"Kobierzyce (2)";149;
0223062;"Mietków (2)";83;
0223073;"Sobótka (3)";136;
0223083;"Siechnice (3)";99;
0223092;"Żórawina (2)";120;
0224013;"Bardo (3)";73;
0224022;"Ciepłowody (2)";77;
0224032;"Kamieniec Ząbkowicki (2)";97;
0224042;"Stoszowice (2)";112;
0224053;"Ząbkowice Śląskie (3)";146;
0224063;"Ziębice (3)";222;
0224073;"Złoty Stok (3)";75;
0225011;"Zawidów (1)";6;
0225021;"Zgorzelec (1)";16;
0225033;"Bogatynia (3)";136;
0225043;"Pieńsk (3)";111;
