"Kod";"Nazwa";"saldo migracji na 1000 osób;ogółem;2016;[osoba]";"saldo migracji na 1000 osób;ogółem;2017;[osoba]";"saldo migracji na 1000 osób;ogółem;2018;[osoba]";"saldo migracji na 1000 osób;ogółem;2019;[osoba]";
0201011;"Bolesławiec (1)";1,0;0,8;0,2;1,6;
0201022;"Bolesławiec (2)";3,0;7,8;11,0;5,9;
0201032;"Gromadka (2)";-4,4;-13,6;3,9;-6,9;
0201043;"Nowogrodziec (3)";-0,3;-3,7;-3,7;-3,5;
0201052;"Osiecznica (2)";-4,8;-6,4;-3,1;0,1;
0201062;"Warta Bolesławiecka (2)";5,0;8,2;0,1;-3,6;
0202011;"Bielawa (1)";-3,0;-0,9;-0,5;0,3;
0202021;"Dzierżoniów (1)";-2,9;-0,4;-2,3;-1,2;
0202033;"Pieszyce (3)";3,5;-2,3;0,1;-3,0;
0202041;"Piława Górna (1)";-3,8;-5,2;-1,9;-4,7;
0202052;"Dzierżoniów (2)";-3,4;-0,5;-1,4;-4,6;
0202062;"Łagiewniki (2)";0,4;-1,5;1,7;-1,7;
0202073;"Niemcza (3)";-5,3;-5,4;-4,0;-1,8;
0203011;"Głogów (1)";-6,0;-4,6;-6,1;-5,7;
0203022;"Głogów (2)";7,3;3,3;8,8;6,6;
0203032;"Jerzmanowa (2)";22,3;13,9;21,7;20,2;
0203042;"Kotla (2)";2,9;-1,6;8,1;1,1;
0203052;"Pęcław (2)";-6,1;-2,2;-9,7;-14,1;
0203062;"Żukowice (2)";-8,0;-0,6;-4,6;7,5;
0204013;"Góra (3)";-4,9;-5,2;-7,2;-4,7;
0204022;"Jemielno (2)";-12,8;-4,9;-9,2;-4,6;
0204032;"Niechlów (2)";-4,6;-6,8;-11,3;-9,2;
0204043;"Wąsosz (3)";-3,5;-7,0;-4,1;-6,1;
0205011;"Jawor (1)";-4,9;-7,4;-6,3;-9,3;
0205023;"Bolków (3)";-2,6;0,0;-5,7;-3,4;
0205032;"Męcinka (2)";5,8;7,2;0,8;7,0;
0205042;"Mściwojów (2)";0,0;0,5;2,9;-8,4;
0205052;"Paszowice (2)";-4,3;5,5;-1,8;4,5;
0205062;"Wądroże Wielkie (2)";1,2;0,3;-6,8;-5,1;
0206011;"Karpacz (1)";-3,5;-4,6;-1,7;-2,8;
0206021;"Kowary (1)";-3,0;-3,6;-3,3;-6,7;
0206031;"Piechowice (1)";-0,5;-4,6;-3,3;-4,0;
0206041;"Szklarska Poręba (1)";-3,8;-2,9;-10,0;-1,7;
0206052;"Janowice Wielkie (2)";4,2;4,9;6,0;0,7;
0206062;"Jeżów Sudecki (2)";5,7;10,9;12,0;8,6;
0206072;"Mysłakowice (2)";3,2;0,0;2,7;1,9;
0206082;"Podgórzyn (2)";6,5;4,9;2,2;7,0;
0206092;"Stara Kamienica (2)";0,0;5,7;3,6;0,6;
0207011;"Kamienna Góra (1)";-4,8;-3,8;-5,5;-8,0;
0207022;"Kamienna Góra (2)";0,7;2,8;1,0;1,3;
0207033;"Lubawka (3)";-1,7;0,0;-3,2;-1,7;
0207042;"Marciszów (2)";1,5;-5,9;-3,7;-2,7;
0208011;"Duszniki-Zdrój (1)";-1,7;-3,8;-2,6;-8,3;
0208021;"Kłodzko (1)";-2,9;-2,5;-2,6;-1,4;
0208031;"Kudowa-Zdrój (1)";-3,4;-3,9;-2,6;-4,1;
0208041;"Nowa Ruda (1)";-2,9;-2,3;-2,5;-4,3;
0208051;"Polanica-Zdrój (1)";-0,5;-3,9;0,9;4,0;
0208063;"Bystrzyca Kłodzka (3)";-1,8;-3,8;-1,3;-2,5;
0208072;"Kłodzko (2)";1,1;1,7;-0,7;-1,3;
0208083;"Lądek-Zdrój (3)";-1,8;0,4;-4,0;-4,0;
0208092;"Lewin Kłodzki (2)";0,5;2,1;8,8;2,1;
0208103;"Międzylesie (3)";-4,5;-6,0;-1,8;-1,1;
0208112;"Nowa Ruda (2)";-0,8;-0,4;-4,4;-6,1;
0208123;"Radków (3)";-5,2;-3,6;-1,4;-0,4;
0208133;"Stronie Śląskie (3)";-2,1;-2,4;-0,3;-4,1;
0208143;"Szczytna (3)";0,9;1,4;-0,5;-0,5;
0209011;"Chojnów (1)";-6,7;-7,9;-9,8;-6,6;
0209022;"Chojnów (2)";2,5;5,7;-0,3;-1,6;
0209032;"Krotoszyce (2)";-0,6;3,3;8,7;-6,0;
0209042;"Kunice (2)";13,0;4,5;19,5;18,8;
0209052;"Legnickie Pole (2)";11,8;6,7;7,4;3,1;
0209062;"Miłkowice (2)";6,7;10,9;11,1;8,0;
0209073;"Prochowice (3)";3,5;1,9;-4,0;-1,7;
0209082;"Ruja (2)";3,4;-1,9;0,8;4,2;
0210011;"Lubań (1)";-2,6;-2,2;-2,5;-2,0;
0210021;"Świeradów-Zdrój (1)";-5,4;-2,6;-3,6;-6,0;
0210033;"Leśna (3)";-5,5;-2,9;-1,7;-7,2;
0210042;"Lubań (2)";-2,4;-4,4;-0,3;-2,0;
0210053;"Olszyna (3)";-2,8;2,4;1,4;3,5;
0210062;"Platerówka (2)";-3,1;-0,6;0,0;2,5;
0210072;"Siekierczyn (2)";-1,3;1,5;0,2;-1,8;
0211011;"Lubin (1)";-4,0;-4,2;-4,6;-4,1;
0211022;"Lubin (2)";14,1;16,3;18,0;17,4;
0211032;"Rudna (2)";5,7;2,2;2,6;5,0;
0211043;"Ścinawa (3)";-2,5;-4,4;-4,7;-5,3;
0212013;"Gryfów Śląski (3)";-3,1;-1,6;-0,4;-1,6;
0212023;"Lubomierz (3)";-1,0;1,3;-3,4;3,4;
0212033;"Lwówek Śląski (3)";-3,9;-4,5;-3,2;0,6;
0212043;"Mirsk (3)";2,7;-0,7;0,0;0,7;
0212053;"Wleń (3)";2,1;-8,5;2,3;1,4;
0213012;"Cieszków (2)";-7,5;-2,4;-1,3;-1,7;
0213022;"Krośnice (2)";-2,7;1,5;1,8;-1,6;
0213033;"Milicz (3)";0,1;-3,4;-1,6;-2,2;
0214011;"Oleśnica (1)";-0,7;-1,2;-1,3;-2,5;
0214023;"Bierutów (3)";-0,9;-5,8;-5,2;-5,1;
0214032;"Dobroszyce (2)";2,6;11,8;12,5;13,2;
0214042;"Dziadowa Kłoda (2)";-1,7;-5,8;-8,9;-5,7;
0214053;"Międzybórz (3)";0,6;-2,1;-2,0;-3,2;
