"Kod";"Nazwa";"przeciętna miesięczna liczba rodzin pobierających świadczenie;2018;[-]";
0201011;"Bolesławiec (1)";1885;
0201022;"Bolesławiec (2)";866;
0201032;"Gromadka (2)";301;
0201043;"Nowogrodziec (3)";926;
0201052;"Osiecznica (2)";489;
0201062;"Warta Bolesławiecka (2)";588;
0202011;"Bielawa (1)";1459;
0202021;"Dzierżoniów (1)";1645;
0202033;"Pieszyce (3)";539;
0202041;"Piława Górna (1)";349;
0202052;"Dzierżoniów (2)";536;
0202062;"Łagiewniki (2)";434;
0202073;"Niemcza (3)";289;
0203011;"Głogów (1)";3561;
0203022;"Głogów (2)";496;
0203032;"Jerzmanowa (2)";397;
0203042;"Kotla (2)";307;
0203052;"Pęcław (2)";163;
0203062;"Żukowice (2)";230;
0204013;"Góra (3)";1334;
0204022;"Jemielno (2)";216;
0204032;"Niechlów (2)";320;
0204043;"Wąsosz (3)";516;
0205011;"Jawor (1)";1144;
0205023;"Bolków (3)";573;
0205032;"Męcinka (2)";300;
0205042;"Mściwojów (2)";244;
0205052;"Paszowice (2)";240;
0205062;"Wądroże Wielkie (2)";262;
0206011;"Karpacz (1)";184;
0206021;"Kowary (1)";551;
0206031;"Piechowice (1)";297;
0206041;"Szklarska Poręba (1)";253;
0206052;"Janowice Wielkie (2)";228;
0206062;"Jeżów Sudecki (2)";435;
0206072;"Mysłakowice (2)";544;
0206082;"Podgórzyn (2)";463;
0206092;"Stara Kamienica (2)";313;
0207011;"Kamienna Góra (1)";865;
0207022;"Kamienna Góra (2)";574;
0207033;"Lubawka (3)";424;
0207042;"Marciszów (2)";236;
0208011;"Duszniki-Zdrój (1)";188;
0208021;"Kłodzko (1)";1204;
0208031;"Kudowa-Zdrój (1)";342;
0208041;"Nowa Ruda (1)";890;
0208051;"Polanica-Zdrój (1)";257;
0208063;"Bystrzyca Kłodzka (3)";922;
0208072;"Kłodzko (2)";969;
0208083;"Lądek-Zdrój (3)";370;
0208092;"Lewin Kłodzki (2)";81;
0208103;"Międzylesie (3)";273;
0208112;"Nowa Ruda (2)";527;
0208123;"Radków (3)";419;
0208133;"Stronie Śląskie (3)";353;
0208143;"Szczytna (3)";367;
0209011;"Chojnów (1)";718;
0209022;"Chojnów (2)";635;
0209032;"Krotoszyce (2)";209;
0209042;"Kunice (2)";481;
0209052;"Legnickie Pole (2)";315;
0209062;"Miłkowice (2)";424;
0209073;"Prochowice (3)";502;
0209082;"Ruja (2)";168;
0210011;"Lubań (1)";847;
0210021;"Świeradów-Zdrój (1)";216;
0210033;"Leśna (3)";531;
0210042;"Lubań (2)";381;
0210053;"Olszyna (3)";329;
0210062;"Platerówka (2)";77;
0210072;"Siekierczyn (2)";236;
0211011;"Lubin (1)";3705;
0211022;"Lubin (2)";1097;
0211032;"Rudna (2)";525;
0211043;"Ścinawa (3)";565;
0212013;"Gryfów Śląski (3)";453;
0212023;"Lubomierz (3)";333;
0212033;"Lwówek Śląski (3)";863;
0212043;"Mirsk (3)";463;
0212053;"Wleń (3)";223;
0213012;"Cieszków (2)";364;
0213022;"Krośnice (2)";530;
0213033;"Milicz (3)";1676;
0214011;"Oleśnica (1)";2139;
0214023;"Bierutów (3)";572;
0214032;"Dobroszyce (2)";465;
0214042;"Dziadowa Kłoda (2)";381;
0214053;"Międzybórz (3)";378;
0214062;"Oleśnica (2)";1001;
0214073;"Syców (3)";1152;
0214083;"Twardogóra (3)";853;
0215011;"Oława (1)";1831;
0215022;"Domaniów (2)";341;
0215033;"Jelcz-Laskowice (3)";1444;
0215042;"Oława (2)";1026;
