"Kod";"Nazwa";"ogółem;wodociąg;2019;[%]";"ogółem;kanalizacja;2019;[%]";"ogółem;gaz;2019;[%]";
0201011;"Bolesławiec (1)";99,9;96,8;91,6;
0201022;"Bolesławiec (2)";94,1;72,1;26,6;
0201032;"Gromadka (2)";97,3;62,2;0,0;
0201043;"Nowogrodziec (3)";97,6;55,1;11,8;
0201052;"Osiecznica (2)";98,6;89,1;21,2;
0201062;"Warta Bolesławiecka (2)";100,0;100,0;18,7;
0202011;"Bielawa (1)";96,9;87,7;97,3;
0202021;"Dzierżoniów (1)";100,0;85,9;95,4;
0202033;"Pieszyce (3)";74,4;32,5;87,1;
0202041;"Piława Górna (1)";91,4;56,4;93,9;
0202052;"Dzierżoniów (2)";100,0;37,0;26,2;
0202062;"Łagiewniki (2)";89,5;47,8;0,0;
0202073;"Niemcza (3)";74,9;70,3;56,2;
0203011;"Głogów (1)";98,1;98,3;90,0;
0203022;"Głogów (2)";99,9;62,6;24,7;
0203032;"Jerzmanowa (2)";100,0;89,3;29,9;
0203042;"Kotla (2)";99,1;49,7;0,0;
0203052;"Pęcław (2)";89,3;46,0;0,0;
0203062;"Żukowice (2)";91,9;38,7;29,0;
0204013;"Góra (3)";99,5;65,1;59,6;
0204022;"Jemielno (2)";99,9;0,0;0,0;
0204032;"Niechlów (2)";98,7;12,5;0,0;
0204043;"Wąsosz (3)";89,9;25,4;15,5;
0205011;"Jawor (1)";100,0;99,5;94,5;
0205023;"Bolków (3)";69,0;48,4;44,8;
0205032;"Męcinka (2)";78,3;69,1;12,5;
0205042;"Mściwojów (2)";100,0;69,7;0,0;
0205052;"Paszowice (2)";93,7;96,1;30,4;
0205062;"Wądroże Wielkie (2)";92,4;59,5;0,0;
0206011;"Karpacz (1)";99,4;93,3;81,2;
0206021;"Kowary (1)";99,9;79,5;85,5;
0206031;"Piechowice (1)";93,9;61,3;77,4;
0206041;"Szklarska Poręba (1)";95,3;68,4;74,0;
0206052;"Janowice Wielkie (2)";71,9;48,0;0,0;
0206062;"Jeżów Sudecki (2)";87,5;34,2;38,9;
0206072;"Mysłakowice (2)";70,4;60,1;23,0;
0206082;"Podgórzyn (2)";95,4;84,2;47,3;
0206092;"Stara Kamienica (2)";31,5;41,5;0,0;
0207011;"Kamienna Góra (1)";100,0;100,0;90,6;
0207022;"Kamienna Góra (2)";84,5;39,8;14,1;
0207033;"Lubawka (3)";85,2;92,3;50,9;
0207042;"Marciszów (2)";76,7;48,3;0,0;
0208011;"Duszniki-Zdrój (1)";93,7;94,8;88,2;
0208021;"Kłodzko (1)";95,7;88,8;93,5;
