"Kod";"Nazwa";"ogółem;wodociąg;2018;[%]";"ogółem;kanalizacja;2018;[%]";"ogółem;gaz;2018;[%]";
0201011;"Bolesławiec (1)";99,9;97,4;91,6;
0201022;"Bolesławiec (2)";94,1;73,4;25,2;
0201032;"Gromadka (2)";97,6;63,1;0,0;
0201043;"Nowogrodziec (3)";97,6;46,3;11,0;
0201052;"Osiecznica (2)";98,6;89,0;21,4;
0201062;"Warta Bolesławiecka (2)";100,0;100,0;17,1;
0202011;"Bielawa (1)";96,9;87,7;96,7;
0202021;"Dzierżoniów (1)";100,0;85,9;95,6;
0202033;"Pieszyce (3)";74,3;32,4;87,3;
0202041;"Piława Górna (1)";91,4;61,9;94,1;
0202052;"Dzierżoniów (2)";100,0;37,0;26,0;
0202062;"Łagiewniki (2)";89,3;47,8;0,0;
0202073;"Niemcza (3)";76,8;68,1;55,9;
0203011;"Głogów (1)";98,1;98,3;90,9;
0203022;"Głogów (2)";99,9;62,3;24,4;
0203032;"Jerzmanowa (2)";100,0;89,2;28,4;
0203042;"Kotla (2)";99,1;49,2;0,0;
0203052;"Pęcław (2)";89,1;45,8;0,0;
0203062;"Żukowice (2)";91,9;38,7;28,3;
0204013;"Góra (3)";99,5;65,3;60,0;
0204022;"Jemielno (2)";99,9;0,0;0,0;
0204032;"Niechlów (2)";98,7;12,5;0,0;
0204043;"Wąsosz (3)";89,9;25,3;14,9;
0205011;"Jawor (1)";100,0;99,5;94,5;
0205023;"Bolków (3)";70,0;42,6;44,9;
0205032;"Męcinka (2)";77,0;68,6;12,5;
0205042;"Mściwojów (2)";100,0;69,5;0,0;
0205052;"Paszowice (2)";93,7;96,1;29,2;
0205062;"Wądroże Wielkie (2)";92,3;59,5;0,0;
0206011;"Karpacz (1)";99,4;93,2;80,9;
0206021;"Kowary (1)";99,9;79,3;85,8;
0206031;"Piechowice (1)";93,9;61,2;77,4;
0206041;"Szklarska Poręba (1)";95,2;67,7;73,6;
0206052;"Janowice Wielkie (2)";71,6;46,6;0,0;
0206062;"Jeżów Sudecki (2)";87,5;33,5;38,3;
0206072;"Mysłakowice (2)";70,2;57,9;21,6;
0206082;"Podgórzyn (2)";95,3;83,7;46,7;
0206092;"Stara Kamienica (2)";31,5;41,4;0,0;
0207011;"Kamienna Góra (1)";100,0;100,0;91,5;
0207022;"Kamienna Góra (2)";84,2;39,7;13,0;
0207033;"Lubawka (3)";85,0;92,3;51,9;
0207042;"Marciszów (2)";76,7;47,2;0,0;
0208011;"Duszniki-Zdrój (1)";93,5;94,8;88,9;
0208021;"Kłodzko (1)";95,6;88,8;93,1;
0208031;"Kudowa-Zdrój (1)";99,3;90,9;98,3;
0208041;"Nowa Ruda (1)";97,3;77,5;51,0;
0208051;"Polanica-Zdrój (1)";97,1;94,5;71,7;
0208063;"Bystrzyca Kłodzka (3)";76,1;46,4;49,3;
0208072;"Kłodzko (2)";67,3;53,0;20,5;
0208083;"Lądek-Zdrój (3)";73,5;62,1;65,0;
0208092;"Lewin Kłodzki (2)";68,2;58,2;56,5;
0208103;"Międzylesie (3)";59,5;35,8;31,1;
0208112;"Nowa Ruda (2)";89,6;18,2;0,0;
0208123;"Radków (3)";99,6;58,7;22,6;
0208133;"Stronie Śląskie (3)";80,5;75,5;61,9;
0208143;"Szczytna (3)";71,4;39,9;37,9;
0209011;"Chojnów (1)";98,0;84,2;96,0;
0209022;"Chojnów (2)";94,5;34,4;0,6;
0209032;"Krotoszyce (2)";97,4;77,8;25,3;
0209042;"Kunice (2)";98,8;90,8;69,2;
0209052;"Legnickie Pole (2)";88,3;88,5;1,1;
0209062;"Miłkowice (2)";98,1;74,2;2,3;
0209073;"Prochowice (3)";99,8;85,6;28,9;
0209082;"Ruja (2)";100,0;80,8;1,0;
0210011;"Lubań (1)";99,5;98,4;92,9;
0210021;"Świeradów-Zdrój (1)";75,4;44,0;34,0;
0210033;"Leśna (3)";56,0;38,1;24,3;
0210042;"Lubań (2)";69,5;1,3;0,5;
0210053;"Olszyna (3)";91,1;74,3;32,1;
0210062;"Platerówka (2)";99,2;30,6;0,2;
0210072;"Siekierczyn (2)";96,7;75,6;0,5;
0211011;"Lubin (1)";99,9;99,6;98,4;
0211022;"Lubin (2)";99,9;96,3;49,7;
0211032;"Rudna (2)";99,9;99,9;81,6;
0211043;"Ścinawa (3)";100,0;57,6;1,0;
0212013;"Gryfów Śląski (3)";95,1;64,4;68,0;
0212023;"Lubomierz (3)";38,8;29,6;1,3;
0212033;"Lwówek Śląski (3)";99,3;70,8;44,3;
0212043;"Mirsk (3)";54,2;47,7;0,1;
0212053;"Wleń (3)";53,3;45,9;0,0;
0213012;"Cieszków (2)";99,9;39,5;19,7;
0213022;"Krośnice (2)";97,0;57,7;23,7;
0213033;"Milicz (3)";90,7;68,0;46,5;
0214011;"Oleśnica (1)";99,9;96,3;87,3;
0214023;"Bierutów (3)";93,2;43,9;0,9;
0214032;"Dobroszyce (2)";98,9;71,1;15,4;
0214042;"Dziadowa Kłoda (2)";100,0;32,2;0,0;
0214053;"Międzybórz (3)";90,3;10,8;6,0;
0214062;"Oleśnica (2)";98,4;31,4;9,9;
0214073;"Syców (3)";98,1;65,0;53,9;
0214083;"Twardogóra (3)";96,3;66,5;21,4;
0215011;"Oława (1)";98,9;94,2;83,3;
0215022;"Domaniów (2)";97,5;2,8;0,1;
0215033;"Jelcz-Laskowice (3)";95,4;81,3;51,2;
0215042;"Oława (2)";85,3;64,9;20,5;
0216013;"Chocianów (3)";96,5;57,3;63,5;
0216022;"Gaworzyce (2)";97,6;76,6;44,3;
0216032;"Grębocice (2)";99,9;99,6;43,6;
0216043;"Polkowice (3)";99,6;99,7;79,9;
0216053;"Przemków (3)";97,5;89,7;40,3;
0216062;"Radwanice (2)";99,0;77,6;28,1;
0217012;"Borów (2)";92,7;29,6;0,2;
0217022;"Kondratowice (2)";99,9;53,7;0,1;
0217032;"Przeworno (2)";88,9;11,3;0,0;
0217043;"Strzelin (3)";98,0;67,9;51,4;
0217053;"Wiązów (3)";95,0;22,7;1,6;
