"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2016;[zł]";"gminy łącznie z miastami na prawach powiatu;ogółem;2017;[zł]";"gminy łącznie z miastami na prawach powiatu;ogółem;2018;[zł]";"gminy łącznie z miastami na prawach powiatu;ogółem;2019;[zł]";
0201011;"Bolesławiec (1)";3626,99;4095,14;4953,97;4619,35;
0201022;"Bolesławiec (2)";3280,52;4160,81;4105,70;5207,37;
0201032;"Gromadka (2)";4498,75;4878,53;8012,35;5941,28;
0201043;"Nowogrodziec (3)";3370,45;4111,64;5334,40;5032,21;
0201052;"Osiecznica (2)";4068,33;4721,81;5991,16;5591,21;
0201062;"Warta Bolesławiecka (2)";3534,54;4118,35;4512,90;4669,66;
0202011;"Bielawa (1)";3728,62;3913,11;4667,46;4767,21;
0202021;"Dzierżoniów (1)";3325,42;3666,99;4373,13;4493,39;
0202033;"Pieszyce (3)";2940,41;3310,60;4485,26;4016,02;
0202041;"Piława Górna (1)";2965,29;3466,57;4159,45;4674,74;
0202052;"Dzierżoniów (2)";3355,45;3418,49;4466,06;4685,95;
0202062;"Łagiewniki (2)";3279,74;3861,89;3815,00;4070,34;
0202073;"Niemcza (3)";3039,92;3334,25;3936,50;4572,76;
0203011;"Głogów (1)";4187,08;4605,15;5025,13;5954,78;
0203022;"Głogów (2)";3908,27;4415,58;5650,89;5826,47;
0203032;"Jerzmanowa (2)";8519,14;8996,84;11071,70;10824,30;
0203042;"Kotla (2)";4282,66;5422,22;6029,79;5353,76;
0203052;"Pęcław (2)";3848,26;4721,66;4684,66;4838,37;
0203062;"Żukowice (2)";5168,63;5514,84;6436,94;6603,88;
0204013;"Góra (3)";4184,87;4690,25;5230,24;5168,91;
0204022;"Jemielno (2)";3970,34;4537,05;4792,78;5025,14;
0204032;"Niechlów (2)";3920,50;4677,82;4652,91;5209,06;
0204043;"Wąsosz (3)";3958,72;4176,00;5060,44;4549,88;
0205011;"Jawor (1)";3204,63;3780,78;4446,52;4447,30;
0205023;"Bolków (3)";3186,03;3828,80;5229,72;5495,99;
0205032;"Męcinka (2)";3738,08;4902,76;6279,55;5888,03;
0205042;"Mściwojów (2)";3784,51;4370,99;5066,63;4277,45;
0205052;"Paszowice (2)";3669,00;4062,93;3924,66;4398,11;
0205062;"Wądroże Wielkie (2)";4435,62;5650,22;6988,71;6142,40;
0206011;"Karpacz (1)";6324,32;9108,03;12081,92;9925,75;
0206021;"Kowary (1)";3210,62;3490,40;3813,91;4193,42;
0206031;"Piechowice (1)";3424,18;3790,89;4364,55;4800,33;
0206041;"Szklarska Poręba (1)";5015,53;5835,45;6681,44;7529,61;
0206052;"Janowice Wielkie (2)";3275,80;3464,76;4130,22;4270,12;
0206062;"Jeżów Sudecki (2)";3299,50;4150,53;4961,78;4148,72;
0206072;"Mysłakowice (2)";3565,99;4032,15;4265,89;5438,59;
0206082;"Podgórzyn (2)";3338,53;4632,60;5635,78;5802,65;
0206092;"Stara Kamienica (2)";3751,10;4966,10;5416,13;4967,26;
0207011;"Kamienna Góra (1)";3286,01;3803,10;4445,86;5587,32;
0207022;"Kamienna Góra (2)";3854,80;4538,72;5066,71;5159,30;
0207033;"Lubawka (3)";3210,50;4043,01;4142,54;3886,58;
0207042;"Marciszów (2)";3708,69;4796,27;5867,97;4167,79;
0208011;"Duszniki-Zdrój (1)";7062,11;5565,94;5035,23;5675,84;
0208021;"Kłodzko (1)";3275,46;3462,47;4383,86;4380,17;
0208031;"Kudowa-Zdrój (1)";3698,44;4144,03;4345,54;5297,26;
0208041;"Nowa Ruda (1)";3184,27;4437,20;4301,57;4489,64;
0208051;"Polanica-Zdrój (1)";3814,66;4583,12;4903,22;5185,97;
0208063;"Bystrzyca Kłodzka (3)";3344,17;4493,77;4651,46;5200,65;
0208072;"Kłodzko (2)";3682,14;3831,54;4454,09;4769,84;
0208083;"Lądek-Zdrój (3)";3432,32;4370,64;5814,12;7124,49;
0208092;"Lewin Kłodzki (2)";4060,27;4976,33;8449,47;7256,92;
0208103;"Międzylesie (3)";3349,20;3612,52;4015,15;4221,51;
0208112;"Nowa Ruda (2)";3465,18;4419,16;5207,15;5365,21;
0208123;"Radków (3)";4305,98;5089,89;5685,23;5978,99;
0208133;"Stronie Śląskie (3)";3123,35;3749,80;4884,22;4776,43;
0208143;"Szczytna (3)";3069,57;3683,79;4692,87;4145,02;
0209011;"Chojnów (1)";3431,24;3917,50;4256,72;4350,15;
0209022;"Chojnów (2)";4036,72;4213,37;4921,15;5171,14;
0209032;"Krotoszyce (2)";4143,84;5307,73;4695,64;5369,41;
0209042;"Kunice (2)";4089,25;4541,53;4956,97;5744,44;
0209052;"Legnickie Pole (2)";4676,91;5336,61;6079,48;6372,18;
0209062;"Miłkowice (2)";3560,11;4002,21;4643,45;4674,23;
0209073;"Prochowice (3)";3937,19;4746,82;5190,26;5302,45;
0209082;"Ruja (2)";4581,24;4431,16;4361,13;4639,17;
0210011;"Lubań (1)";3249,92;3622,22;3965,91;4391,10;
0210021;"Świeradów-Zdrój (1)";6664,83;7595,84;17084,72;10389,18;
0210033;"Leśna (3)";3477,80;3810,85;3804,16;4332,94;
0210042;"Lubań (2)";3621,28;3726,59;4561,88;4746,41;
0210053;"Olszyna (3)";3667,17;3666,04;3714,48;4231,41;
0210062;"Platerówka (2)";4012,79;4277,10;4246,01;4670,70;
0210072;"Siekierczyn (2)";3505,65;4032,48;4015,37;4343,29;
0211011;"Lubin (1)";4292,64;4847,65;5522,76;5173,06;
0211022;"Lubin (2)";4923,04;6211,76;6612,81;7075,33;
0211032;"Rudna (2)";6079,10;7458,43;8259,69;8513,11;
0211043;"Ścinawa (3)";4083,73;4532,69;6526,52;5511,34;
0212013;"Gryfów Śląski (3)";2892,54;3701,82;4483,82;4584,43;
0212023;"Lubomierz (3)";3911,26;4353,95;4638,72;6584,54;
0212033;"Lwówek Śląski (3)";3078,28;3602,31;4643,06;4287,86;
0212043;"Mirsk (3)";3500,22;4555,92;7414,08;4767,84;
0212053;"Wleń (3)";3340,52;3989,60;5230,45;6344,90;
0213012;"Cieszków (2)";3906,97;4503,38;4575,74;4722,54;
0213022;"Krośnice (2)";5658,53;5010,50;5455,00;6143,75;
0213033;"Milicz (3)";3884,04;4303,76;5058,84;5193,45;
0214011;"Oleśnica (1)";3389,33;3927,06;4296,53;5033,01;
0214023;"Bierutów (3)";3566,76;3886,27;4345,23;4509,08;
0214032;"Dobroszyce (2)";4045,44;5401,01;4874,56;5655,31;
0214042;"Dziadowa Kłoda (2)";3907,71;4403,91;4747,79;5117,30;
0214053;"Międzybórz (3)";3905,37;4274,01;5802,70;5495,41;
0214062;"Oleśnica (2)";3437,07;4065,68;4470,28;5067,16;
0214073;"Syców (3)";3157,68;3568,80;4285,80;4482,63;
0214083;"Twardogóra (3)";3807,41;4669,69;5193,93;4786,17;
0215011;"Oława (1)";3495,51;3742,56;4506,85;4892,27;
0215022;"Domaniów (2)";3600,29;4122,92;5173,52;5435,66;
0215033;"Jelcz-Laskowice (3)";3478,62;4226,69;4461,50;5129,57;
0215042;"Oława (2)";4303,50;5005,59;6336,43;6504,39;
0216013;"Chocianów (3)";3563,64;3863,22;3732,94;4083,00;
0216022;"Gaworzyce (2)";4282,57;5684,61;5210,87;6067,75;
0216032;"Grębocice (2)";6898,50;8648,22;9378,05;10350,70;
0216043;"Polkowice (3)";8265,34;8704,95;11367,73;11047,46;
0216053;"Przemków (3)";3186,11;3685,76;3650,28;4186,98;
0216062;"Radwanice (2)";4786,55;6654,78;8047,02;6635,49;
0217012;"Borów (2)";3234,30;3672,26;5303,77;4081,50;
0217022;"Kondratowice (2)";3819,18;4772,53;5102,03;4922,46;
0217032;"Przeworno (2)";3346,61;3635,92;3735,59;4011,71;
0217043;"Strzelin (3)";3654,89;4597,41;4940,85;5217,09;
0217053;"Wiązów (3)";3766,70;4136,26;4844,87;5152,62;
0218012;"Kostomłoty (2)";3456,47;3575,48;4277,80;4921,18;
0218022;"Malczyce (2)";3080,42;3477,00;6267,79;4383,25;
0218032;"Miękinia (2)";4126,17;5087,45;6560,35;5734,53;
0218043;"Środa Śląska (3)";4385,16;5249,73;5394,36;5059,56;
0218052;"Udanin (2)";3676,28;3794,91;4275,20;5156,56;
0219011;"Świdnica (1)";3810,92;4414,57;5130,25;4741,28;
0219021;"Świebodzice (1)";3371,68;3952,49;4351,80;4395,01;
0219032;"Dobromierz (2)";3854,83;4353,25;7411,41;5704,09;
0219043;"Jaworzyna Śląska (3)";3235,45;4215,91;5643,75;5077,45;
0219052;"Marcinowice (2)";3729,88;3958,62;3898,22;4460,41;
0219063;"Strzegom (3)";3777,71;4308,38;5440,56;5209,48;
0219072;"Świdnica (2)";3635,06;4640,95;5574,45;5071,51;
0219083;"Żarów (3)";4177,80;4679,30;5670,08;5849,60;
0220013;"Oborniki Śląskie (3)";3292,40;4276,82;4819,43;5033,74;
0220023;"Prusice (3)";4523,04;4420,74;5971,01;6293,66;
0220033;"Trzebnica (3)";3551,18;5079,89;5165,12;5236,57;
0220042;"Wisznia Mała (2)";3926,61;4738,16;6075,71;5898,55;
0220052;"Zawonia (2)";3479,00;3951,78;5964,73;6563,18;
0220063;"Żmigród (3)";3675,54;4765,01;6047,63;5044,41;
0221011;"Boguszów-Gorce (1)";3583,54;4252,94;4349,95;0,00;
0221021;"Jedlina-Zdrój (1)";3577,47;4795,45;5665,19;4999,12;
0221031;"Szczawno-Zdrój (1)";4883,18;4861,61;5491,22;6497,26;
0221042;"Czarny Bór (2)";4757,07;4438,89;7837,15;5623,14;
0221053;"Głuszyca (3)";3242,67;4074,58;4399,56;4883,76;
0221063;"Mieroszów (3)";3445,47;4085,50;4653,81;5192,36;
0221072;"Stare Bogaczowice (2)";3314,35;3715,59;4977,15;4597,30;
0221082;"Walim (2)";3749,63;4559,14;5103,76;6106,00;
0222013;"Brzeg Dolny (3)";3865,52;4327,32;4852,58;5389,34;
0222022;"Wińsko (2)";3630,81;4131,51;4514,97;5478,55;
0222033;"Wołów (3)";3590,07;4260,75;4945,26;5076,62;
0223012;"Czernica (2)";3646,09;4987,16;5590,37;5449,12;
0223022;"Długołęka (2)";4176,03;4879,62;5618,68;5617,75;
0223032;"Jordanów Śląski (2)";3291,04;3500,80;4411,15;4536,90;
0223043;"Kąty Wrocławskie (3)";4619,60;5561,03;6302,96;6784,74;
0223052;"Kobierzyce (2)";7711,34;8095,12;11442,82;12156,96;
0223062;"Mietków (2)";4202,84;4307,94;5183,84;5086,50;
0223073;"Sobótka (3)";3479,13;3852,54;4670,42;5555,80;
0223083;"Siechnice (3)";4679,18;5233,59;5813,53;6475,43;
0223092;"Żórawina (2)";3688,17;4039,84;4501,60;5980,73;
0224013;"Bardo (3)";3356,88;4471,98;6560,83;5119,20;
0224022;"Ciepłowody (2)";3433,17;3736,75;4331,97;5067,25;
0224032;"Kamieniec Ząbkowicki (2)";3758,48;3790,36;5291,15;4790,08;
0224042;"Stoszowice (2)";3282,09;3488,16;4738,63;5516,01;
0224053;"Ząbkowice Śląskie (3)";3412,40;3747,37;4402,35;5146,08;
0224063;"Ziębice (3)";3335,38;3626,41;3914,43;4225,45;
0224073;"Złoty Stok (3)";3534,71;4112,37;5600,99;5655,46;
0225011;"Zawidów (1)";3450,86;3434,65;4045,39;3801,71;
0225021;"Zgorzelec (1)";3219,41;3530,77;4327,50;4283,05;
0225033;"Bogatynia (3)";6253,18;6378,52;7113,91;7159,03;
0225043;"Pieńsk (3)";3200,35;3676,46;5069,01;4283,17;
0225052;"Sulików (2)";3683,27;4208,06;4703,11;4408,33;
0225063;"Węgliniec (3)";3754,51;3806,26;4428,47;4543,03;
0225072;"Zgorzelec (2)";4611,19;4581,08;6046,97;5954,93;
0226011;"Wojcieszów (1)";3927,69;4204,75;5859,28;5156,10;
0226021;"Złotoryja (1)";3264,54;3773,03;3868,07;4263,78;
0226032;"Pielgrzymka (2)";4114,76;4561,92;5561,81;5533,94;
0226043;"Świerzawa (3)";3435,63;4156,70;5910,03;5043,39;
0226052;"Zagrodno (2)";3622,03;4099,67;4980,20;4724,21;
0226062;"Złotoryja (2)";4100,29;4424,75;4372,36;5223,41;
0261011;"Jelenia Góra (1)";4495,29;4865,46;6019,26;6294,02;
0262011;"Legnica (1)";4810,23;5400,66;5665,85;6279,23;
0264011;"Wrocław (1)";6205,83;6462,18;7143,22;7763,29;
0265011;"Wałbrzych od 2013 (1)";4853,25;5364,34;5761,78;6649,89;
0401011;"Aleksandrów Kujawski (1)";3522,81;3884,96;4060,18;4448,12;
0401021;"Ciechocinek (1)";4210,20;4738,60;4883,77;5773,50;
0401031;"Nieszawa (1)";3907,80;5881,33;4986,25;4467,77;
0401042;"Aleksandrów Kujawski (2)";3605,41;4225,54;5074,68;5260,43;
0401052;"Bądkowo (2)";3854,17;4433,03;5208,14;4827,10;
0401062;"Koneck (2)";3737,46;4275,05;5193,83;5527,26;
0401072;"Raciążek (2)";4335,61;4386,18;6127,52;4379,21;
0401082;"Waganiec (2)";3766,23;5060,55;4423,17;5013,96;
0401092;"Zakrzewo (2)";4520,25;5184,78;5204,46;5312,67;
0402011;"Brodnica (1)";3594,90;3946,02;4837,56;4964,44;
0402022;"Bobrowo (2)";3906,08;4658,99;5740,68;4909,98;
0402032;"Brodnica (2)";3953,21;4500,27;4942,26;4805,37;
0402042;"Brzozie (2)";4053,50;4449,06;5079,83;4988,59;
0402053;"Górzno (3)";3719,95;4398,10;5051,77;5824,76;
0402062;"Bartniczka (2)";3532,20;4362,89;5470,05;4962,58;
0402073;"Jabłonowo Pomorskie (3)";4298,61;4741,54;4435,14;4802,57;
0402082;"Osiek (2)";4055,88;4530,59;4539,89;4609,87;
0402092;"Świedziebnia (2)";4164,94;4294,88;5057,97;4981,07;
0402102;"Zbiczno (2)";3669,31;4429,85;5129,01;5145,53;
0403012;"Białe Błota (2)";4078,48;4702,20;4696,90;5705,45;
0403022;"Dąbrowa Chełmińska (2)";4003,83;4326,61;4804,51;5497,01;
0403032;"Dobrcz (2)";4010,02;4305,53;4901,06;4925,24;
0403043;"Koronowo (3)";3546,09;4263,94;4291,40;4432,69;
0403052;"Nowa Wieś Wielka (2)";4535,79;5836,07;5836,62;5962,03;
0403062;"Osielsko (2)";5342,48;5625,52;7299,60;7582,26;
0403072;"Sicienko (2)";3883,77;4411,82;5038,67;5194,30;
0403083;"Solec Kujawski (3)";4538,58;4198,05;4818,37;5245,13;
0404011;"Chełmno (1)";3150,61;3607,70;3910,74;4054,68;
0404022;"Chełmno (2)";3607,05;4319,12;4388,40;4908,05;
0404032;"Kijewo Królewskie (2)";3894,44;4918,25;4501,69;5436,65;
0404042;"Lisewo (2)";4155,16;4696,63;5651,57;6085,17;
0404052;"Papowo Biskupie (2)";3884,53;4113,19;4808,01;5020,20;
0404062;"Stolno (2)";3838,19;4194,20;5799,47;4709,19;
0404072;"Unisław (2)";3954,24;4317,87;4946,79;5364,11;
0405011;"Golub-Dobrzyń (1)";3397,13;3687,03;4040,24;4688,92;
0405022;"Ciechocin (2)";3940,30;4939,30;4671,84;4570,97;
0405032;"Golub-Dobrzyń (2)";3989,85;4409,07;5357,10;5519,33;
0405043;"Kowalewo Pomorskie (3)";3876,29;4308,91;5585,23;6159,56;
0405052;"Radomin (2)";3771,85;4308,08;5017,35;4735,17;
0405062;"Zbójno (2)";4360,04;5875,35;5678,48;5663,62;
0406012;"Grudziądz (2)";4231,13;5091,03;5591,04;5411,40;
0406022;"Gruta (2)";3758,13;4384,21;5005,54;5826,27;
0406033;"Łasin (3)";4390,47;4734,76;5646,73;6288,61;
0406043;"Radzyń Chełmiński (3)";5386,95;6542,20;6645,49;6484,08;
0406052;"Rogóźno (2)";4186,28;4545,98;4393,35;5096,63;
0406062;"Świecie nad Osą (2)";4750,38;5550,06;5869,52;7765,99;
0407011;"Inowrocław (1)";3611,12;4000,79;5182,54;5438,69;
0407022;"Dąbrowa Biskupia (2)";4084,88;4394,86;5587,48;5547,69;
0407033;"Gniewkowo (3)";3559,01;3938,09;4248,77;4303,89;
0407042;"Inowrocław (2)";4305,40;4668,27;5183,98;5299,65;
0407053;"Janikowo (3)";3581,87;3855,99;4270,56;4669,83;
0407063;"Kruszwica (3)";3706,22;3994,20;4277,23;4437,63;
0407073;"Pakość (3)";3464,35;3967,25;4410,17;4521,79;
0407082;"Rojewo (2)";3974,86;4280,07;4672,70;4674,03;
0407092;"Złotniki Kujawskie (2)";3523,65;4062,11;4179,94;4558,00;
0408011;"Lipno (1)";3618,32;3983,29;4223,18;4572,97;
0408022;"Bobrowniki (2)";4097,80;4508,18;5668,60;5429,28;
0408032;"Chrostkowo (2)";4274,43;5383,72;5555,43;5275,44;
0408043;"Dobrzyń nad Wisłą (3)";4240,09;5397,86;6216,31;5472,35;
0408052;"Kikół (2)";4145,06;4464,39;5123,15;5466,74;
0408062;"Lipno (2)";3964,50;4318,89;5084,95;5242,03;
0408073;"Skępe (3)";4246,84;4934,99;5709,24;5462,92;
0408082;"Tłuchowo (2)";4608,30;4928,55;5368,69;5599,23;
0408092;"Wielgie (2)";4746,83;5230,70;5593,43;5876,28;
0409012;"Dąbrowa (2)";4015,88;4447,74;5178,63;5710,87;
0409022;"Jeziora Wielkie (2)";3629,70;3803,59;4317,03;4523,03;
0409033;"Mogilno (3)";3592,04;3737,83;4178,55;4635,72;
0409043;"Strzelno (3)";3891,29;4190,43;4393,71;5777,20;
0410013;"Kcynia (3)";4295,78;4890,64;4757,86;5089,39;
0410023;"Mrocza (3)";4432,53;4942,82;5580,12;5613,26;
0410033;"Nakło nad Notecią (3)";3722,00;4408,71;5088,11;5224,39;
0410042;"Sadki (2)";3763,52;4119,24;4044,51;4765,06;
0410053;"Szubin (3)";3674,72;4468,54;4847,47;5134,99;
0411011;"Radziejów (1)";3922,26;4184,59;5148,73;5047,95;
0411022;"Bytoń (2)";3956,75;4078,11;5418,18;5550,01;
0411032;"Dobre (2)";3455,09;3826,36;4544,33;4712,89;
0411042;"Osięciny (2)";3705,21;4096,08;4241,70;4705,42;
0411053;"Piotrków Kujawski (3)";3913,78;4345,14;4540,67;5231,80;
0411062;"Radziejów (2)";3917,16;4928,50;5986,89;5730,96;
0411072;"Topólka (2)";4177,24;4468,31;4909,67;4960,95;
0412011;"Rypin (1)";3833,28;4227,90;5005,30;5067,74;
0412022;"Brzuze (2)";3565,87;3870,00;4535,09;4553,47;
